"B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M","GEO_ID","NAME"
"574","74","24","22","34","18","61","35","66","43","55","33","71","38","60","36","30","26","157","53","16","21","1400000US06001402200","Census Tract 4022, Alameda County, California"
"934","92","39","37","55","60","11","17","73","52","172","90","89","52","38","32","122","71","281","93","54","39","1400000US06001402400","Census Tract 4024, Alameda County, California"
"656","64","54","44","10","14","81","43","34","23","79","43","81","41","32","30","70","51","134","52","81","58","1400000US06001402500","Census Tract 4025, Alameda County, California"
"564","41","19","16","25","21","36","19","62","28","113","48","82","41","42","30","16","21","140","40","29","23","1400000US06001402600","Census Tract 4026, Alameda County, California"
"480","69","41","36","39","35","26","20","106","47","69","40","19","17","29","33","37","36","97","47","17","27","1400000US06001402700","Census Tract 4027, Alameda County, California"
"2197","139","245","136","176","94","185","88","286","105","318","135","171","97","100","79","175","91","476","158","65","65","1400000US06001402800","Census Tract 4028, Alameda County, California"
"949","61","29","25","53","30","92","43","153","56","171","65","124","45","55","36","85","46","160","68","27","24","1400000US06001402900","Census Tract 4029, Alameda County, California"
"974","105","33","40","49","31","102","64","27","25","176","84","130","93","25","29","119","73","255","90","58","44","1400000US06001403000","Census Tract 4030, Alameda County, California"
"646","80","49","41","46","31","117","67","52","42","50","31","78","35","57","42","28","23","163","61","6","9","1400000US06001403100","Census Tract 4031, Alameda County, California"
"1440","188","49","56","113","91","184","92","111","83","136","103","154","99","130","109","75","67","357","199","131","98","1400000US06001403300","Census Tract 4033, Alameda County, California"
"2563","145","133","90","287","133","301","109","439","154","314","134","192","114","210","127","338","149","338","112","11","18","1400000US06001403400","Census Tract 4034, Alameda County, California"
"2376","199","73","62","182","90","339","133","210","105","222","123","322","131","129","105","406","162","388","166","105","73","1400000US06001403501","Census Tract 4035.01, Alameda County, California"
"919","120","58","29","93","44","152","73","89","46","137","61","24","23","64","62","38","31","247","95","17","20","1400000US06001403502","Census Tract 4035.02, Alameda County, California"
"2342","142","115","98","280","115","290","117","499","200","149","79","129","74","169","120","242","122","441","176","28","32","1400000US06001403600","Census Tract 4036, Alameda County, California"
"1520","121","58","37","197","74","254","109","204","81","196","101","104","49","45","38","38","30","387","147","37","48","1400000US06001403701","Census Tract 4037.01, Alameda County, California"
"884","111","43","30","153","67","146","54","175","71","101","47","25","28","11","17","23","23","177","81","30","29","1400000US06001403702","Census Tract 4037.02, Alameda County, California"
"1209","115","98","47","119","54","216","86","185","65","104","56","53","34","50","28","50","36","248","85","86","55","1400000US06001403800","Census Tract 4038, Alameda County, California"
"1270","167","67","75","138","75","212","112","272","132","70","61","178","133","52","59","62","78","190","115","29","33","1400000US06001403900","Census Tract 4039, Alameda County, California"
"1170","112","39","32","124","78","202","65","152","57","147","54","126","62","76","44","130","91","152","52","22","23","1400000US06001404000","Census Tract 4040, Alameda County, California"
"1072","108","27","24","134","60","161","65","158","74","198","82","97","53","33","28","107","72","143","64","14","15","1400000US06001404101","Census Tract 4041.01, Alameda County, California"
"1408","89","105","62","235","81","205","74","128","50","126","64","152","75","81","56","68","40","287","97","21","23","1400000US06001404102","Census Tract 4041.02, Alameda County, California"
"256","76","32","25","56","47","21","18","27","31","14","16","18","21","7","11","0","12","39","35","42","31","1400000US06001404200","Census Tract 4042, Alameda County, California"
"151","58","17","20","0","12","30","26","19","20","11","16","40","47","7","12","18","19","9","13","0","12","1400000US06001404300","Census Tract 4043, Alameda County, California"
"291","112","0","17","80","66","25","29","52","41","42","40","18","30","11","17","9","14","41","46","13","21","1400000US06001404400","Census Tract 4044, Alameda County, California"
"54","27","7","10","6","10","6","10","17","12","6","9","0","12","0","12","0","12","0","12","12","13","1400000US06001404501","Census Tract 4045.01, Alameda County, California"
"364","115","0","17","93","50","25","39","37","42","0","17","25","40","0","17","76","101","50","54","58","54","1400000US06001404502","Census Tract 4045.02, Alameda County, California"
"122","70","9","14","29","31","0","12","12","19","37","55","17","25","0","12","0","12","7","10","11","16","1400000US06001404600","Census Tract 4046, Alameda County, California"
"106","47","0","12","24","18","10","13","28","36","0","12","13","14","0","12","0","12","25","21","6","9","1400000US06001404700","Census Tract 4047, Alameda County, California"
"620","99","20","22","42","52","62","42","102","71","24","20","64","52","50","49","85","63","162","63","9","14","1400000US06001404800","Census Tract 4048, Alameda County, California"
"740","120","54","44","93","47","71","41","172","92","88","48","53","40","35","27","61","55","62","45","51","38","1400000US06001404900","Census Tract 4049, Alameda County, California"
"389","99","0","12","105","48","15","17","0","12","42","43","54","38","38","31","28","35","47","31","60","64","1400000US06001405000","Census Tract 4050, Alameda County, California"
"129","52","44","40","0","12","20","21","20","22","20","22","0","12","0","12","0","12","25","31","0","12","1400000US06001405100","Census Tract 4051, Alameda County, California"
"1684","167","95","80","240","97","234","102","320","125","11","20","176","102","89","70","132","83","302","144","85","69","1400000US06001405200","Census Tract 4052, Alameda County, California"
"1401","89","60","51","189","92","168","58","302","103","117","65","85","48","93","66","81","48","306","90","0","12","1400000US06001405301","Census Tract 4053.01, Alameda County, California"
"1292","127","26","24","147","66","210","87","177","65","170","81","72","50","58","37","119","67","296","113","17","20","1400000US06001405302","Census Tract 4053.02, Alameda County, California"
"1438","120","23","23","100","52","153","79","170","84","190","71","107","61","152","81","69","48","410","134","64","40","1400000US06001405401","Census Tract 4054.01, Alameda County, California"
"1063","87","46","38","142","73","137","70","101","61","119","57","62","45","46","33","82","51","285","92","43","44","1400000US06001405402","Census Tract 4054.02, Alameda County, California"
"1165","111","84","49","147","81","150","58","92","58","152","91","77","57","23","23","65","53","347","111","28","20","1400000US06001405500","Census Tract 4055, Alameda County, California"
"951","130","16","23","61","49","137","67","117","75","139","65","85","64","111","73","71","51","205","87","9","14","1400000US06001405600","Census Tract 4056, Alameda County, California"
"968","119","0","12","61","52","127","70","179","86","98","59","37","36","99","66","109","72","203","84","55","46","1400000US06001405700","Census Tract 4057, Alameda County, California"
"877","125","17","18","32","27","48","46","130","67","11","18","47","43","75","62","78","52","324","115","115","71","1400000US06001405800","Census Tract 4058, Alameda County, California"
"772","101","61","49","57","67","56","46","72","59","75","47","20","21","86","66","36","43","296","99","13","25","1400000US06001405901","Census Tract 4059.01, Alameda County, California"
"630","66","14","15","15","18","34","30","82","33","42","24","62","34","34","25","87","45","238","63","22","18","1400000US06001405902","Census Tract 4059.02, Alameda County, California"
"1315","116","85","55","78","44","198","88","175","82","202","100","188","87","45","43","148","64","181","79","15","18","1400000US06001406000","Census Tract 4060, Alameda County, California"
"956","144","0","12","27","23","92","72","158","90","66","55","59","57","0","12","135","88","409","149","10","15","1400000US06001406100","Census Tract 4061, Alameda County, California"
"1202","107","58","50","74","41","95","59","146","73","101","62","47","47","112","66","157","86","387","139","25","31","1400000US06001406201","Census Tract 4062.01, Alameda County, California"
"1157","105","27","31","59","44","161","71","106","56","216","72","117","71","32","31","135","72","250","100","54","52","1400000US06001406202","Census Tract 4062.02, Alameda County, California"
"726","131","20","24","73","80","8","18","131","72","126","65","18","22","38","36","95","62","152","72","65","81","1400000US06001406300","Census Tract 4063, Alameda County, California"
"395","58","17","25","38","31","40","27","21","18","15","13","29","29","15","17","59","45","145","57","16","25","1400000US06001406400","Census Tract 4064, Alameda County, California"
"1325","135","0","17","38","34","157","90","94","61","130","80","136","68","104","66","88","54","537","131","41","41","1400000US06001406500","Census Tract 4065, Alameda County, California"
"1255","120","68","73","34","28","160","91","90","72","118","69","184","99","122","86","106","80","347","113","26","41","1400000US06001406601","Census Tract 4066.01, Alameda County, California"
"646","90","38","30","43","39","44","28","72","36","40","38","73","34","46","40","75","55","210","65","5","9","1400000US06001406602","Census Tract 4066.02, Alameda County, California"
"740","169","15","23","28","42","159","128","52","51","88","86","88","93","77","79","74","61","145","108","14","22","1400000US06001406700","Census Tract 4067, Alameda County, California"
"417","103","9","14","26","23","62","45","29","27","79","60","21","22","18","20","72","57","78","58","23","24","1400000US06001406800","Census Tract 4068, Alameda County, California"
"648","109","24","27","66","55","23","21","129","72","101","75","32","32","33","41","111","88","101","54","28","43","1400000US06001406900","Census Tract 4069, Alameda County, California"
"1085","179","31","47","136","109","71","54","78","70","96","72","29","46","40","43","135","110","455","169","14","20","1400000US06001407000","Census Tract 4070, Alameda County, California"
"700","114","24","29","97","69","13","21","96","70","55","49","61","54","8","16","82","55","184","77","80","59","1400000US06001407101","Census Tract 4071.01, Alameda County, California"
"715","107","10","19","65","60","109","84","141","70","13","23","82","68","15","28","53","49","200","98","27","26","1400000US06001407102","Census Tract 4071.02, Alameda County, California"
"1458","122","93","73","62","58","165","75","148","69","63","48","125","59","102","55","147","97","482","118","71","61","1400000US06001407200","Census Tract 4072, Alameda County, California"
"567","68","15","18","0","12","107","52","29","27","84","50","56","37","0","12","35","31","217","70","24","21","1400000US06001407300","Census Tract 4073, Alameda County, California"
"741","106","24","37","66","46","52","45","81","48","116","74","76","59","22","34","20","22","207","75","77","67","1400000US06001407400","Census Tract 4074, Alameda County, California"
"1022","129","29","42","26","32","35","44","130","79","105","74","29","44","10","17","150","82","367","118","141","83","1400000US06001407500","Census Tract 4075, Alameda County, California"
"984","208","0","17","36","42","93","94","72","77","37","52","181","135","51","52","120","123","321","141","73","96","1400000US06001407600","Census Tract 4076, Alameda County, California"
"412","147","0","12","7","11","30","30","82","67","7","11","11","15","78","80","5","9","124","81","68","61","1400000US06001407700","Census Tract 4077, Alameda County, California"
"212","58","10","13","23","24","13","22","12","14","13","15","28","25","4","7","14","23","76","37","19","18","1400000US06001407800","Census Tract 4078, Alameda County, California"
"245","90","0","12","40","42","0","12","30","26","21","19","8","12","57","43","15","25","74","54","0","12","1400000US06001407900","Census Tract 4079, Alameda County, California"
"97","62","51","51","0","12","10","15","8","9","0","12","0","12","0","12","0","12","23","22","5","9","1400000US06001408000","Census Tract 4080, Alameda County, California"
"432","148","0","17","33","38","93","86","0","17","38","42","118","117","24","37","27","30","72","56","27","32","1400000US06001408100","Census Tract 4081, Alameda County, California"
"1160","125","11","19","28","32","79","49","73","48","125","84","108","85","20","22","158","83","438","137","120","87","1400000US06001408200","Census Tract 4082, Alameda County, California"
"568","134","4","9","34","32","68","56","81","89","41","33","106","67","12","19","34","42","149","91","39","41","1400000US06001408300","Census Tract 4083, Alameda County, California"
"759","110","30","43","59","61","49","50","91","68","32","35","35","42","68","63","100","64","288","119","7","11","1400000US06001408400","Census Tract 4084, Alameda County, California"
"1088","138","20","29","108","77","32","34","114","68","112","73","117","75","59","62","93","66","407","130","26","27","1400000US06001408500","Census Tract 4085, Alameda County, California"
"1013","149","12","20","57","57","29","28","65","65","63","50","78","48","52","58","157","86","482","144","18","28","1400000US06001408600","Census Tract 4086, Alameda County, California"
"1363","228","0","17","40","45","24","40","217","125","186","105","55","67","76","59","103","97","560","195","102","87","1400000US06001408700","Census Tract 4087, Alameda County, California"
"1702","131","0","17","70","65","146","79","107","77","211","96","302","130","136","100","166","76","413","154","151","100","1400000US06001408800","Census Tract 4088, Alameda County, California"
"734","79","60","34","57","40","67","46","55","35","113","55","62","35","26","27","84","49","205","62","5","9","1400000US06001408900","Census Tract 4089, Alameda County, California"
"644","108","11","19","58","41","50","42","54","38","88","64","75","53","44","42","66","61","198","75","0","12","1400000US06001409000","Census Tract 4090, Alameda County, California"
"241","64","10","15","22","29","13","20","35","34","29","32","12","13","15","24","15","22","90","50","0","12","1400000US06001409100","Census Tract 4091, Alameda County, California"
"538","77","3","6","15","18","36","33","57","35","28","26","19","17","31","26","111","52","231","68","7","10","1400000US06001409200","Census Tract 4092, Alameda County, California"
"960","124","17","27","30","42","80","70","68","75","67","68","131","70","8","15","138","88","333","111","88","70","1400000US06001409300","Census Tract 4093, Alameda County, California"
"829","101","18","30","45","58","83","56","101","81","31","38","82","59","25","29","86","70","320","124","38","37","1400000US06001409400","Census Tract 4094, Alameda County, California"
"831","70","22","21","28","30","46","34","52","31","87","48","73","38","58","34","61","40","353","81","51","36","1400000US06001409500","Census Tract 4095, Alameda County, California"
"1085","139","0","12","224","125","92","64","72","59","103","66","24","29","49","59","119","86","372","131","30","37","1400000US06001409600","Census Tract 4096, Alameda County, California"
"1050","130","15","23","0","12","24","22","127","62","102","60","89","63","57","41","171","80","380","108","85","58","1400000US06001409700","Census Tract 4097, Alameda County, California"
"674","149","0","12","92","90","80","70","27","27","53","62","131","101","25","28","0","12","239","139","27","26","1400000US06001409800","Census Tract 4098, Alameda County, California"
"194","95","0","12","36","56","0","12","17","28","48","36","0","12","10","16","53","65","0","12","30","26","1400000US06001409900","Census Tract 4099, Alameda County, California"
"148","84","0","12","0","12","18","22","74","67","0","12","0","12","33","50","0","12","23","25","0","12","1400000US06001410000","Census Tract 4100, Alameda County, California"
"456","86","9","15","39","32","37","38","79","56","16","16","34","37","28","32","25","27","151","70","38","35","1400000US06001410100","Census Tract 4101, Alameda County, California"
"455","119","9","15","19","24","88","63","43","46","15","25","41","43","65","69","0","12","175","92","0","12","1400000US06001410200","Census Tract 4102, Alameda County, California"
"596","71","9","13","17","19","44","34","53","30","57","35","72","39","64","50","48","30","214","60","18","24","1400000US06001410300","Census Tract 4103, Alameda County, California"
"576","115","0","12","30","34","104","52","53","41","99","59","69","58","27","25","29","27","156","72","9","14","1400000US06001410400","Census Tract 4104, Alameda County, California"
"801","60","90","51","64","49","51","33","52","32","92","45","33","28","23","24","128","64","233","84","35","34","1400000US06001410500","Census Tract 4105, Alameda County, California"
"254","58","12","9","27","17","16","14","7","11","34","22","44","42","34","20","45","31","32","23","3","5","1400000US06001420100","Census Tract 4201, Alameda County, California"
"764","96","10","16","78","55","135","51","149","59","81","52","64","47","51","34","39","44","140","63","17","19","1400000US06001420200","Census Tract 4202, Alameda County, California"
"1036","167","20","30","105","77","171","119","124","101","99","73","111","73","53","56","108","74","229","112","16","26","1400000US06001420300","Census Tract 4203, Alameda County, California"
"1129","67","25","25","42","37","83","46","157","67","57","36","51","37","74","47","125","54","410","96","105","57","1400000US06001420400","Census Tract 4204, Alameda County, California"
"516","66","11","13","57","26","101","41","21","17","67","45","41","22","29","13","74","42","108","38","7","11","1400000US06001420500","Census Tract 4205, Alameda County, California"
"249","74","5","8","36","33","61","39","0","12","38","27","53","47","0","12","11","17","33","28","12","19","1400000US06001420600","Census Tract 4206, Alameda County, California"
"70","41","24","32","6","9","5","9","12","12","8","11","15","23","0","12","0","12","0","12","0","12","1400000US06001421100","Census Tract 4211, Alameda County, California"
"138","60","0","12","17","15","17","15","33","37","6","9","5","9","0","12","0","12","32","26","28","43","1400000US06001421200","Census Tract 4212, Alameda County, California"
"296","79","16","19","64","42","29","25","45","32","31","29","32","31","30","46","9","14","31","49","9","14","1400000US06001421300","Census Tract 4213, Alameda County, California"
"89","31","5","7","15","15","5","8","9","12","7","11","0","12","5","7","11","11","17","15","15","14","1400000US06001421400","Census Tract 4214, Alameda County, California"
"294","75","11","18","10","15","97","47","17","19","23","26","35","31","17","19","40","31","17","20","27","21","1400000US06001421500","Census Tract 4215, Alameda County, California"
"335","82","12","17","56","40","22","22","108","63","13","15","14","17","0","12","35","29","61","33","14","17","1400000US06001421600","Census Tract 4216, Alameda County, California"
"910","113","37","25","65","35","53","41","81","48","96","47","126","81","48","38","80","46","324","98","0","12","1400000US06001421700","Census Tract 4217, Alameda County, California"
"285","51","17","11","34","22","37","21","29","20","23","18","11","12","22","18","44","25","39","17","29","17","1400000US06001421800","Census Tract 4218, Alameda County, California"
"752","106","0","12","118","57","83","39","87","56","133","64","69","50","48","52","47","42","139","82","28","26","1400000US06001421900","Census Tract 4219, Alameda County, California"
"689","73","24","21","38","23","124","47","72","31","126","70","60","44","41","26","49","35","136","49","19","20","1400000US06001422000","Census Tract 4220, Alameda County, California"
"674","116","21","19","45","35","82","43","82","50","69","49","146","94","43","34","71","60","100","77","15","28","1400000US06001422100","Census Tract 4221, Alameda County, California"
"793","93","26","25","145","70","178","73","63","39","103","80","12","18","48","42","33","51","140","66","45","35","1400000US06001422200","Census Tract 4222, Alameda County, California"
"1047","118","41","33","94","46","115","74","133","63","100","52","35","27","93","68","49","29","312","95","75","45","1400000US06001422300","Census Tract 4223, Alameda County, California"
"1796","160","142","91","63","46","256","97","114","74","156","93","118","71","90","63","215","94","612","159","30","32","1400000US06001422400","Census Tract 4224, Alameda County, California"
"1081","104","50","26","35","25","72","43","87","36","96","47","77","48","73","43","135","58","397","84","59","35","1400000US06001422500","Census Tract 4225, Alameda County, California"
"0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1400000US06001422600","Census Tract 4226, Alameda County, California"
"873","99","24","25","22","25","61","53","23","24","39","32","8","13","57","41","77","46","468","116","94","67","1400000US06001422700","Census Tract 4227, Alameda County, California"
"1264","107","18","20","48","48","61","37","89","57","46","31","18","21","106","55","30","28","716","104","132","65","1400000US06001422800","Census Tract 4228, Alameda County, California"
"2071","148","43","44","155","110","131","96","135","91","276","176","120","66","33","38","201","124","809","204","168","100","1400000US06001422900","Census Tract 4229, Alameda County, California"
"1236","144","43","36","33","37","122","85","185","113","77","81","62","51","31","36","158","115","525","173","0","12","1400000US06001423000","Census Tract 4230, Alameda County, California"
"1311","138","42","46","99","50","121","71","131","58","217","105","98","51","30","23","166","90","346","116","61","44","1400000US06001423100","Census Tract 4231, Alameda County, California"
"857","112","74","56","89","49","64","34","68","35","86","88","77","58","75","49","78","66","222","97","24","36","1400000US06001423200","Census Tract 4232, Alameda County, California"
"651","114","33","39","40","25","43","42","40","26","32","31","56","43","19","24","66","56","295","97","27","36","1400000US06001423300","Census Tract 4233, Alameda County, California"
"1249","175","97","73","76","71","88","62","155","74","144","82","218","124","37","42","102","69","252","117","80","73","1400000US06001423400","Census Tract 4234, Alameda County, California"
"978","103","58","35","65","38","75","49","108","61","117","64","185","83","21","20","35","25","284","91","30","25","1400000US06001423500","Census Tract 4235, Alameda County, California"
"694","92","50","47","133","52","85","51","75","44","77","42","35","26","27","23","73","59","129","49","10","13","1400000US06001423601","Census Tract 4236.01, Alameda County, California"
"1924","158","103","80","168","79","129","105","74","56","112","74","116","71","29","33","109","73","994","170","90","51","1400000US06001423602","Census Tract 4236.02, Alameda County, California"
"771","98","58","45","59","38","121","65","56","33","58","37","69","49","42","33","56","45","206","66","46","46","1400000US06001423700","Census Tract 4237, Alameda County, California"
"324","80","22","28","57","46","43","54","32","48","31","22","49","61","0","12","58","53","10","15","22","24","1400000US06001423800","Census Tract 4238, Alameda County, California"
"531","70","26","19","45","28","60","30","87","44","13","14","43","29","57","32","53","35","119","51","28","30","1400000US06001423901","Census Tract 4239.01, Alameda County, California"
"442","57","21","15","74","31","40","22","99","40","47","31","53","34","28","18","37","28","43","22","0","12","1400000US06001423902","Census Tract 4239.02, Alameda County, California"
"980","112","25","28","31","25","127","52","98","46","111","49","128","58","106","58","44","26","294","83","16","27","1400000US06001424001","Census Tract 4240.01, Alameda County, California"
"469","92","39","25","31","20","67","47","56","28","52","53","37","25","24","19","44","45","113","54","6","10","1400000US06001424002","Census Tract 4240.02, Alameda County, California"
"551","90","36","34","70","44","117","66","69","43","28","26","85","43","23","20","31","30","57","35","35","27","1400000US06001425101","Census Tract 4251.01, Alameda County, California"
"1505","120","75","52","217","83","142","61","223","87","102","61","142","70","53","40","103","60","365","100","83","61","1400000US06001425102","Census Tract 4251.02, Alameda County, California"
"934","113","42","38","69","46","123","72","198","95","93","61","59","45","74","61","79","64","183","81","14","17","1400000US06001425103","Census Tract 4251.03, Alameda County, California"
"1332","155","0","12","117","60","291","107","59","48","117","56","113","87","120","61","30","39","419","115","66","69","1400000US06001425104","Census Tract 4251.04, Alameda County, California"
"225","119","0","17","28","32","23","36","51","78","17","28","0","17","0","17","0","17","37","42","69","71","1400000US06001426100","Census Tract 4261, Alameda County, California"
"240","77","18","23","42","33","26","26","50","39","31","43","0","12","22","24","18","22","21","23","12","16","1400000US06001426200","Census Tract 4262, Alameda County, California"
"377","87","18","19","55","63","69","42","77","55","49","52","21","23","7","12","7","12","35","31","39","49","1400000US06001427100","Census Tract 4271, Alameda County, California"
"960","113","44","31","104","46","95","70","137","61","88","63","99","49","62","56","79","53","184","80","68","43","1400000US06001427200","Census Tract 4272, Alameda County, California"
"893","113","43","36","51","34","90","49","113","51","82","46","84","42","97","70","70","68","243","93","20","22","1400000US06001427300","Census Tract 4273, Alameda County, California"
"1455","94","69","59","37","25","104","54","281","94","163","70","69","52","84","53","198","77","411","119","39","37","1400000US06001427600","Census Tract 4276, Alameda County, California"
"1434","190","12","18","119","68","353","139","210","113","163","87","114","72","168","104","81","51","162","88","52","47","1400000US06001427700","Census Tract 4277, Alameda County, California"
"1274","176","40","50","213","114","176","96","154","87","55","50","204","115","78","61","46","49","249","121","59","60","1400000US06001427800","Census Tract 4278, Alameda County, California"
"1395","170","52","53","48","46","242","94","374","160","123","75","145","87","23","35","98","105","267","126","23","38","1400000US06001427900","Census Tract 4279, Alameda County, California"
"1170","106","12","19","100","46","201","79","132","68","190","106","110","61","24","21","124","73","260","119","17","20","1400000US06001428000","Census Tract 4280, Alameda County, California"
"940","118","19","23","71","42","203","87","211","92","58","34","120","83","65","53","44","30","143","65","6","10","1400000US06001428100","Census Tract 4281, Alameda County, California"
"1176","158","14","23","85","59","137","69","268","119","142","80","59","49","11","18","182","111","233","101","45","43","1400000US06001428200","Census Tract 4282, Alameda County, California"
"492","159","59","86","57","54","100","90","42","37","46","51","27","30","11","17","0","17","119","78","31","35","1400000US06001428301","Census Tract 4283.01, Alameda County, California"
"383","151","21","34","17","28","94","81","26","27","0","17","12","21","15","24","0","17","137","92","61","52","1400000US06001428302","Census Tract 4283.02, Alameda County, California"
"1405","128","21","19","158","75","207","89","189","89","179","70","133","53","92","47","100","60","260","95","66","67","1400000US06001428400","Census Tract 4284, Alameda County, California"
"894","145","0","12","130","69","157","69","127","63","133","67","126","68","23","26","57","44","104","52","37","40","1400000US06001428500","Census Tract 4285, Alameda County, California"
"765","102","49","63","56","48","144","63","80","44","53","41","108","67","70","60","69","64","136","67","0","12","1400000US06001428600","Census Tract 4286, Alameda County, California"
"817","101","65","44","0","12","56","50","94","65","98","64","41","33","54","43","28","26","127","53","254","80","1400000US06001428700","Census Tract 4287, Alameda County, California"
"207","104","0","17","0","17","30","32","6","15","36","55","17","23","0","17","24","36","50","47","44","49","1400000US06001430101","Census Tract 4301.01, Alameda County, California"
"120","44","11","12","18","26","7","11","7","10","31","35","0","12","0","12","23","29","5","8","18","15","1400000US06001430102","Census Tract 4301.02, Alameda County, California"
"188","95","0","17","0","17","16","26","23","35","30","33","0","17","0","17","39","47","52","46","28","30","1400000US06001430200","Census Tract 4302, Alameda County, California"
"157","52","0","12","0","12","0","12","32","24","20","22","11","18","11","16","0","12","83","56","0","12","1400000US06001430300","Census Tract 4303, Alameda County, California"
"43","25","0","12","0","12","26","19","0","12","17","18","0","12","0","12","0","12","0","12","0","12","1400000US06001430400","Census Tract 4304, Alameda County, California"
"759","153","12","22","48","43","49","49","48","41","45","50","113","83","113","78","0","17","331","146","0","17","1400000US06001430500","Census Tract 4305, Alameda County, California"
"319","129","15","28","24","37","17","28","16","26","20","32","56","68","31","37","11","19","112","105","17","25","1400000US06001430600","Census Tract 4306, Alameda County, California"
"301","83","15","22","13","16","44","41","3","8","58","52","45","36","26","28","19","22","54","41","24","26","1400000US06001430700","Census Tract 4307, Alameda County, California"
"606","183","0","17","60","49","64","48","71","97","132","115","39","40","24","28","92","66","122","78","2","14","1400000US06001430800","Census Tract 4308, Alameda County, California"
