"B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Not Hispanic or Latino","Margin of Error!!Total!!Not Hispanic or Latino","Estimate!!Total!!Not Hispanic or Latino!!White alone","Margin of Error!!Total!!Not Hispanic or Latino!!White alone","Estimate!!Total!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Not Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Not Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Not Hispanic or Latino!!Asian alone","Estimate!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Not Hispanic or Latino!!Some other race alone","Estimate!!Total!!Not Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Estimate!!Total!!Hispanic or Latino","Margin of Error!!Total!!Hispanic or Latino","Estimate!!Total!!Hispanic or Latino!!White alone","Margin of Error!!Total!!Hispanic or Latino!!White alone","Estimate!!Total!!Hispanic or Latino!!Black or African American alone","Margin of Error!!Total!!Hispanic or Latino!!Black or African American alone","Estimate!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!Total!!Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!Total!!Hispanic or Latino!!Asian alone","Margin of Error!!Total!!Hispanic or Latino!!Asian alone","Estimate!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Hispanic or Latino!!Some other race alone","Margin of Error!!Total!!Hispanic or Latino!!Some other race alone","Estimate!!Total!!Hispanic or Latino!!Two or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and three or more races","id","Geographic Area Name"
"1799","399","1030","282","140","87","436","173","0","12","371","215","8","12","0","12","75","71","0","12","75","71","769","330","455","237","0","12","0","12","0","12","0","12","290","229","24","27","0","12","24","27","1500000US060014065001","Block Group 1, Census Tract 4065, Alameda County, California"
"1000","337","789","318","55","44","229","114","0","12","461","307","0","12","0","12","44","50","0","12","44","50","211","135","108","89","0","12","0","12","0","12","0","12","103","155","0","12","0","12","0","12","1500000US060014065002","Block Group 2, Census Tract 4065, Alameda County, California"
"2271","500","920","279","132","73","315","173","0","12","473","235","0","12","0","12","0","12","0","12","0","12","1351","417","1068","403","0","12","9","13","0","12","0","12","255","176","19","31","19","31","0","12","1500000US060014065003","Block Group 3, Census Tract 4065, Alameda County, California"
"983","282","774","262","213","128","381","212","0","12","150","131","0","12","0","12","30","37","0","12","30","37","209","165","123","124","0","12","0","12","0","12","0","12","86","116","0","12","0","12","0","12","1500000US060014065004","Block Group 4, Census Tract 4065, Alameda County, California"
"1027","448","939","439","37","33","652","473","20","33","130","142","0","12","0","12","100","105","12","20","88","103","88","76","20","43","0","12","4","12","0","12","0","12","64","61","0","12","0","12","0","12","1500000US060014066011","Block Group 1, Census Tract 4066.01, Alameda County, California"
"1728","569","1357","558","108","85","593","348","0","12","590","473","0","12","0","12","66","73","30","51","36","47","371","206","152","164","0","12","0","12","0","12","0","12","197","142","22","38","22","38","0","12","1500000US060014066012","Block Group 2, Census Tract 4066.01, Alameda County, California"
"1445","457","1308","445","326","215","168","98","14","28","514","233","5","9","0","12","281","249","60","86","221","237","137","124","108","122","11","16","0","12","0","12","0","12","18","30","0","12","0","12","0","12","1500000US060014066013","Block Group 3, Census Tract 4066.01, Alameda County, California"
"637","215","497","196","101","67","343","191","0","12","53","61","0","12","0","12","0","12","0","12","0","12","140","133","27","41","0","12","0","12","0","12","0","12","97","119","16","18","9","15","7","11","1500000US060014066014","Block Group 4, Census Tract 4066.01, Alameda County, California"
"855","233","583","215","245","121","134","89","0","12","169","140","0","12","0","12","35","46","0","12","35","46","272","200","177","167","0","12","79","107","0","12","0","12","0","12","16","24","16","24","0","12","1500000US060014066021","Block Group 1, Census Tract 4066.02, Alameda County, California"
"1291","321","920","296","185","176","243","131","0","12","464","230","0","12","0","12","28","31","0","12","28","31","371","261","212","232","0","12","0","12","0","12","0","12","128","109","31","40","31","40","0","12","1500000US060014066022","Block Group 2, Census Tract 4066.02, Alameda County, California"
"1480","282","1268","233","869","209","102","82","19","23","191","155","0","12","39","60","48","59","0","12","48","59","212","172","131","160","0","12","0","12","0","12","0","12","81","88","0","12","0","12","0","12","1500000US060014067001","Block Group 1, Census Tract 4067, Alameda County, California"
"578","158","529","155","274","108","90","86","0","12","112","103","0","12","0","12","53","60","0","12","53","60","49","58","33","52","0","12","0","12","0","12","0","12","16","25","0","12","0","12","0","12","1500000US060014067002","Block Group 2, Census Tract 4067, Alameda County, California"
"1591","420","1367","335","518","242","268","105","5","13","469","223","0","12","0","12","107","118","32","69","75","92","224","231","141","158","0","12","0","12","0","12","0","12","83","157","0","12","0","12","0","12","1500000US060014067003","Block Group 3, Census Tract 4067, Alameda County, California"
"635","192","606","192","420","185","63","77","0","12","112","83","0","12","0","12","11","17","0","12","11","17","29","33","14","23","0","12","0","12","0","12","0","12","15","24","0","12","0","12","0","12","1500000US060014067004","Block Group 4, Census Tract 4067, Alameda County, California"
"651","198","651","198","457","176","105","99","0","12","68","82","0","12","0","12","21","34","0","12","21","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","1500000US060014067005","Block Group 5, Census Tract 4067, Alameda County, California"
"956","328","867","333","420","149","176","166","12","14","180","212","0","12","0","12","79","91","0","12","79","91","89","75","79","74","0","12","0","12","0","12","0","12","0","12","10","16","10","16","0","12","1500000US060014068001","Block Group 1, Census Tract 4068, Alameda County, California"
"711","205","643","187","228","82","25","23","0","12","317","177","0","12","0","12","73","63","0","12","73","63","68","79","10","15","0","12","0","12","0","12","0","12","58","79","0","12","0","12","0","12","1500000US060014068002","Block Group 2, Census Tract 4068, Alameda County, California"
"1071","366","774","227","255","55","250","204","0","12","220","148","0","12","0","12","49","56","0","12","49","56","297","238","248","237","0","12","0","12","8","11","0","12","1","3","40","47","0","12","40","47","1500000US060014068003","Block Group 3, Census Tract 4068, Alameda County, California"
"904","216","751","206","211","112","193","121","15","24","284","146","0","12","0","12","48","68","0","12","48","68","153","113","54","69","0","12","0","12","0","12","15","20","61","82","23","31","23","31","0","12","1500000US060014068004","Block Group 4, Census Tract 4068, Alameda County, California"
"726","173","604","147","474","133","29","46","17","26","46","58","0","12","0","12","38","46","0","12","38","46","122","73","81","55","0","12","0","12","0","12","0","12","17","27","24","37","0","12","24","37","1500000US060014069001","Block Group 1, Census Tract 4069, Alameda County, California"
"977","168","836","176","504","149","42","40","18","28","211","116","0","12","28","53","33","36","0","12","33","36","141","110","131","108","0","12","0","12","0","12","0","12","0","12","10","17","0","12","10","17","1500000US060014069002","Block Group 2, Census Tract 4069, Alameda County, California"
"2104","351","1459","321","279","130","602","265","0","12","453","218","0","12","0","12","125","143","0","12","125","143","645","302","543","301","0","12","0","12","0","12","0","12","94","71","8","20","8","20","0","12","1500000US060014069003","Block Group 3, Census Tract 4069, Alameda County, California"
"832","370","804","363","155","86","119","125","13","19","475","341","0","12","0","12","42","70","0","12","42","70","28","32","14","23","0","12","0","12","0","12","0","12","0","12","14","23","14","23","0","12","1500000US060014070001","Block Group 1, Census Tract 4070, Alameda County, California"
"1403","393","989","382","252","131","245","213","11","19","461","316","0","12","0","12","20","31","0","12","20","31","414","302","200","200","18","31","0","12","0","12","0","12","196","242","0","12","0","12","0","12","1500000US060014070002","Block Group 2, Census Tract 4070, Alameda County, California"
"1182","410","597","280","88","69","119","167","0","12","343","200","0","12","0","12","47","54","0","12","47","54","585","306","486","297","0","12","0","12","0","12","0","12","99","122","0","12","0","12","0","12","1500000US060014070003","Block Group 3, Census Tract 4070, Alameda County, California"
"1205","356","968","328","118","86","538","341","0","12","312","200","0","12","0","12","0","12","0","12","0","12","237","168","72","84","0","12","0","12","0","12","0","12","165","149","0","12","0","12","0","12","1500000US060014070004","Block Group 4, Census Tract 4070, Alameda County, California"
"806","307","699","282","48","73","364","260","0","12","263","183","0","12","0","12","24","36","0","12","24","36","107","178","80","136","0","12","0","12","0","12","0","12","2","4","25","42","0","12","25","42","1500000US060014070005","Block Group 5, Census Tract 4070, Alameda County, California"
